method,power,value
epsilon-greedy,-7,4.304
epsilon-greedy,-6,4.676
epsilon-greedy,-5,4.578
epsilon-greedy,-4,4.443
epsilon-greedy,-3,4.203
epsilon-greedy,-2,3.471
opt-greedy,-2,4.446
opt-greedy,-1,4.336
opt-greedy,0,4.211
opt-greedy,1,4.219
opt-greedy,2,4.127
ucb,-4,2.260
ucb,-3,2.572
ucb,-2,3.321
ucb,-1,2.529
ucb,0,3.595
ucb,1,2.970
ucb,2,3.137
gradient-bandit,-5,3.990
gradient-bandit,-4,3.297
gradient-bandit,-3,3.488
gradient-bandit,-2,3.521
gradient-bandit,-1,2.921
gradient-bandit,0,3.199
gradient-bandit,1,1.667
gradient-bandit,2,0.952
